"","sim_num","bins","original_patches"
"1",0,0,68
"2",0,0.5,106
"3",0,1,86
"4",0,1.5,72
"5",0,2,58
"6",0,2.5,38
"7",0,3,36
"8",0,3.5,25
"9",0,4,33
"10",0,4.5,33
"11",0,5,18
"12",0,5.5,19
"13",0,6,17
"14",0,6.5,29
"15",0,7,10
"16",0,7.5,12
"17",0,8,6
"18",0,8.5,2
"19",0,9,1
"20",0,9.5,1
"21",0,10,2
"22",0,10.5,2
"23",0,11,3
"24",1,0,34
"25",1,0.5,57
"26",1,1,43
"27",1,1.5,33
"28",1,2,28
"29",1,2.5,26
"30",1,3,18
"31",1,3.5,10
"32",1,4,11
"33",1,4.5,15
"34",1,5,17
"35",1,5.5,12
"36",1,6,9
"37",1,6.5,11
"38",1,7,11
"39",1,7.5,3
"40",1,8,3
"41",1,8.5,1
"42",1,9,1
"43",1,9.5,3
"44",1,10,2
"45",1,10.5,2
"46",1,11,1
"47",1,11.5,0
"48",1,12,0
"49",1,12.5,1
"50",2,0,27
"51",2,0.5,57
"52",2,1,51
"53",2,1.5,47
"54",2,2,24
"55",2,2.5,29
"56",2,3,14
"57",2,3.5,13
"58",2,4,14
"59",2,4.5,9
"60",2,5,9
"61",2,5.5,18
"62",2,6,19
"63",2,6.5,10
"64",2,7,6
"65",2,7.5,9
"66",2,8,2
"67",2,8.5,1
"68",2,9,7
"69",2,9.5,2
"70",2,10,2
"71",2,10.5,4
"72",2,11,1
"73",3,0,22
"74",3,0.5,45
"75",3,1,47
"76",3,1.5,26
"77",3,2,24
"78",3,2.5,27
"79",3,3,14
"80",3,3.5,14
"81",3,4,8
"82",3,4.5,12
"83",3,5,13
"84",3,5.5,12
"85",3,6,7
"86",3,6.5,6
"87",3,7,8
"88",3,7.5,6
"89",3,8,3
"90",3,8.5,2
"91",3,9,1
"92",3,9.5,2
"93",3,10,2
"94",3,10.5,3
"95",3,11,0
"96",3,11.5,0
"97",3,12,1
"98",3,12.5,1
"99",4,0,21
"100",4,0.5,34
"101",4,1,28
"102",4,1.5,34
"103",4,2,29
"104",4,2.5,18
"105",4,3,8
"106",4,3.5,8
"107",4,4,11
"108",4,4.5,11
"109",4,5,8
"110",4,5.5,12
"111",4,6,9
"112",4,6.5,6
"113",4,7,3
"114",4,7.5,6
"115",4,8,2
"116",4,8.5,1
"117",4,9,1
"118",4,9.5,1
"119",4,10,1
"120",4,10.5,0
"121",4,11,2
"122",4,11.5,2
"123",4,12,0
"124",4,12.5,2
"125",5,0,25
"126",5,0.5,47
"127",5,1,32
"128",5,1.5,32
"129",5,2,23
"130",5,2.5,12
"131",5,3,24
"132",5,3.5,16
"133",5,4,16
"134",5,4.5,8
"135",5,5,9
"136",5,5.5,13
"137",5,6,5
"138",5,6.5,10
"139",5,7,4
"140",5,7.5,2
"141",5,8,3
"142",5,8.5,3
"143",5,9,2
"144",5,9.5,2
"145",5,10,0
"146",5,10.5,5
"147",5,11,0
"148",5,11.5,0
"149",5,12,3
"150",6,0,30
"151",6,0.5,42
"152",6,1,36
"153",6,1.5,37
"154",6,2,25
"155",6,2.5,17
"156",6,3,18
"157",6,3.5,17
"158",6,4,10
"159",6,4.5,9
"160",6,5,9
"161",6,5.5,15
"162",6,6,6
"163",6,6.5,9
"164",6,7,4
"165",6,7.5,5
"166",6,8,3
"167",6,8.5,4
"168",6,9,5
"169",6,9.5,1
"170",6,10,2
"171",6,10.5,0
"172",6,11,1
"173",6,11.5,3
"174",6,12,1
"175",7,0,22
"176",7,0.5,44
"177",7,1,42
"178",7,1.5,26
"179",7,2,15
"180",7,2.5,19
"181",7,3,19
"182",7,3.5,9
"183",7,4,8
"184",7,4.5,11
"185",7,5,7
"186",7,5.5,10
"187",7,6,8
"188",7,6.5,10
"189",7,7,9
"190",7,7.5,4
"191",7,8,2
"192",7,8.5,4
"193",7,9,4
"194",7,9.5,2
"195",7,10,1
"196",7,10.5,0
"197",7,11,1
"198",7,11.5,0
"199",7,12,0
"200",7,12.5,1
"201",7,13,1
"202",8,0,22
"203",8,0.5,42
"204",8,1,21
"205",8,1.5,32
"206",8,2,19
"207",8,2.5,18
"208",8,3,15
"209",8,3.5,8
"210",8,4,12
"211",8,4.5,9
"212",8,5,6
"213",8,5.5,9
"214",8,6,11
"215",8,6.5,6
"216",8,7,7
"217",8,7.5,7
"218",8,8,3
"219",8,8.5,5
"220",8,9,1
"221",8,9.5,0
"222",8,10,3
"223",8,10.5,2
"224",8,11,2
"225",8,11.5,0
"226",8,12,0
"227",8,12.5,1
"228",9,0,20
"229",9,0.5,54
"230",9,1,51
"231",9,1.5,25
"232",9,2,20
"233",9,2.5,12
"234",9,3,16
"235",9,3.5,26
"236",9,4,11
"237",9,4.5,12
"238",9,5,10
"239",9,5.5,11
"240",9,6,13
"241",9,6.5,11
"242",9,7,6
"243",9,7.5,10
"244",9,8,4
"245",9,8.5,0
"246",9,9,1
"247",9,9.5,2
"248",9,10,4
"249",9,10.5,2
"250",9,11,1
"251",9,11.5,1
"252",10,0,32
"253",10,0.5,37
"254",10,1,44
"255",10,1.5,28
"256",10,2,25
"257",10,2.5,16
"258",10,3,15
"259",10,3.5,9
"260",10,4,11
"261",10,4.5,6
"262",10,5,6
"263",10,5.5,7
"264",10,6,9
"265",10,6.5,12
"266",10,7,11
"267",10,7.5,5
"268",10,8,5
"269",10,8.5,6
"270",10,9,4
"271",10,9.5,0
"272",10,10,0
"273",10,10.5,2
"274",10,11,0
"275",10,11.5,0
"276",10,12,1
"277",10,12.5,0
"278",10,13,0
"279",10,13.5,1
