"","sim_num","bins","original_patches"
"1",0,0,68
"2",0,0.5,106
"3",0,1,86
"4",0,1.5,72
"5",0,2,58
"6",0,2.5,38
"7",0,3,36
"8",0,3.5,25
"9",0,4,33
"10",0,4.5,33
"11",0,5,18
"12",0,5.5,19
"13",0,6,17
"14",0,6.5,29
"15",0,7,10
"16",0,7.5,12
"17",0,8,6
"18",0,8.5,2
"19",0,9,1
"20",0,9.5,1
"21",0,10,2
"22",0,10.5,2
"23",0,11,3
"24",1,0,13
"25",1,0.5,34
"26",1,1,35
"27",1,1.5,26
"28",1,2,21
"29",1,2.5,12
"30",1,3,18
"31",1,3.5,7
"32",1,4,12
"33",1,4.5,6
"34",1,5,5
"35",1,5.5,9
"36",1,6,9
"37",1,6.5,4
"38",1,7,5
"39",1,7.5,5
"40",1,8,4
"41",1,8.5,2
"42",1,9,1
"43",1,9.5,3
"44",1,10,0
"45",1,10.5,1
"46",1,11,2
"47",1,11.5,0
"48",1,12,1
"49",1,12.5,0
"50",1,13,1
"51",2,0,17
"52",2,0.5,27
"53",2,1,31
"54",2,1.5,22
"55",2,2,33
"56",2,2.5,13
"57",2,3,15
"58",2,3.5,9
"59",2,4,12
"60",2,4.5,10
"61",2,5,11
"62",2,5.5,11
"63",2,6,10
"64",2,6.5,3
"65",2,7,4
"66",2,7.5,2
"67",2,8,3
"68",2,8.5,2
"69",2,9,1
"70",2,9.5,2
"71",2,10,3
"72",2,10.5,0
"73",2,11,1
"74",2,11.5,2
"75",2,12,1
"76",3,0,23
"77",3,0.5,40
"78",3,1,39
"79",3,1.5,25
"80",3,2,16
"81",3,2.5,22
"82",3,3,19
"83",3,3.5,11
"84",3,4,10
"85",3,4.5,5
"86",3,5,9
"87",3,5.5,6
"88",3,6,13
"89",3,6.5,6
"90",3,7,6
"91",3,7.5,3
"92",3,8,2
"93",3,8.5,6
"94",3,9,1
"95",3,9.5,0
"96",3,10,1
"97",3,10.5,1
"98",3,11,0
"99",3,11.5,0
"100",3,12,0
"101",3,12.5,0
"102",3,13,2
"103",4,0,16
"104",4,0.5,30
"105",4,1,36
"106",4,1.5,18
"107",4,2,21
"108",4,2.5,16
"109",4,3,19
"110",4,3.5,10
"111",4,4,9
"112",4,4.5,4
"113",4,5,11
"114",4,5.5,11
"115",4,6,14
"116",4,6.5,9
"117",4,7,4
"118",4,7.5,2
"119",4,8,4
"120",4,8.5,1
"121",4,9,1
"122",4,9.5,0
"123",4,10,2
"124",4,10.5,0
"125",4,11,1
"126",4,11.5,3
"127",4,12,0
"128",4,12.5,0
"129",4,13,1
"130",5,0,18
"131",5,0.5,38
"132",5,1,35
"133",5,1.5,19
"134",5,2,20
"135",5,2.5,23
"136",5,3,15
"137",5,3.5,11
"138",5,4,7
"139",5,4.5,10
"140",5,5,6
"141",5,5.5,10
"142",5,6,8
"143",5,6.5,7
"144",5,7,3
"145",5,7.5,3
"146",5,8,1
"147",5,8.5,1
"148",5,9,3
"149",5,9.5,5
"150",5,10,2
"151",5,10.5,2
"152",5,11,2
"153",5,11.5,2
"154",6,0,18
"155",6,0.5,37
"156",6,1,29
"157",6,1.5,27
"158",6,2,23
"159",6,2.5,18
"160",6,3,15
"161",6,3.5,15
"162",6,4,10
"163",6,4.5,17
"164",6,5,6
"165",6,5.5,13
"166",6,6,8
"167",6,6.5,16
"168",6,7,1
"169",6,7.5,8
"170",6,8,5
"171",6,8.5,0
"172",6,9,1
"173",6,9.5,3
"174",6,10,1
"175",6,10.5,2
"176",6,11,1
"177",6,11.5,2
"178",6,12,1
"179",7,0,19
"180",7,0.5,28
"181",7,1,30
"182",7,1.5,22
"183",7,2,20
"184",7,2.5,12
"185",7,3,7
"186",7,3.5,13
"187",7,4,6
"188",7,4.5,9
"189",7,5,7
"190",7,5.5,3
"191",7,6,9
"192",7,6.5,7
"193",7,7,5
"194",7,7.5,3
"195",7,8,4
"196",7,8.5,3
"197",7,9,1
"198",7,9.5,1
"199",7,10,1
"200",7,10.5,2
"201",7,11,1
"202",7,11.5,4
"203",8,0,28
"204",8,0.5,38
"205",8,1,39
"206",8,1.5,28
"207",8,2,21
"208",8,2.5,18
"209",8,3,15
"210",8,3.5,13
"211",8,4,18
"212",8,4.5,14
"213",8,5,11
"214",8,5.5,11
"215",8,6,9
"216",8,6.5,9
"217",8,7,7
"218",8,7.5,5
"219",8,8,8
"220",8,8.5,5
"221",8,9,3
"222",8,9.5,1
"223",8,10,4
"224",8,10.5,1
"225",8,11,1
"226",8,11.5,0
"227",8,12,0
"228",8,12.5,1
"229",9,0,21
"230",9,0.5,30
"231",9,1,36
"232",9,1.5,22
"233",9,2,19
"234",9,2.5,18
"235",9,3,15
"236",9,3.5,10
"237",9,4,10
"238",9,4.5,8
"239",9,5,11
"240",9,5.5,9
"241",9,6,4
"242",9,6.5,9
"243",9,7,6
"244",9,7.5,4
"245",9,8,1
"246",9,8.5,0
"247",9,9,1
"248",9,9.5,2
"249",9,10,1
"250",9,10.5,1
"251",9,11,1
"252",9,11.5,0
"253",9,12,1
"254",9,12.5,1
"255",10,0,15
"256",10,0.5,30
"257",10,1,24
"258",10,1.5,27
"259",10,2,20
"260",10,2.5,15
"261",10,3,13
"262",10,3.5,20
"263",10,4,11
"264",10,4.5,6
"265",10,5,4
"266",10,5.5,6
"267",10,6,12
"268",10,6.5,7
"269",10,7,6
"270",10,7.5,3
"271",10,8,2
"272",10,8.5,1
"273",10,9,1
"274",10,9.5,2
"275",10,10,3
"276",10,10.5,1
"277",10,11,1
"278",10,11.5,1
"279",10,12,0
"280",10,12.5,1
"281",10,0,15
"282",10,0.5,30
"283",10,1,24
"284",10,1.5,27
"285",10,2,20
"286",10,2.5,15
"287",10,3,13
"288",10,3.5,20
"289",10,4,11
"290",10,4.5,6
"291",10,5,4
"292",10,5.5,6
"293",10,6,12
"294",10,6.5,7
"295",10,7,6
"296",10,7.5,3
"297",10,8,2
"298",10,8.5,1
"299",10,9,1
"300",10,9.5,2
"301",10,10,3
"302",10,10.5,1
"303",10,11,1
"304",10,11.5,1
"305",10,12,0
"306",10,12.5,1
